exploration_start,exploration_min,exploration_anneal_steps,exploration_temp,lr_init,lr_decay,decay_freq,idealization,discount,history_len,target_update_freq,batch_size,n_epochs,normalize,input_dropout,batch_normalization,streams_size,loss,hidden_activation,out_activation,weights_init,optimizer,layer_sizes,memory_size,q_clip
1.0,0.01,150,-1.0,0.005,0.1,200,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
1.0,0.01,150,-1.0,0.005,0.45,50,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
0.5811027551685888,0.17887537638021433,65,1.0,0.07278231522606565,0.5689257947519666,253,0.6232921128220617,0.6622587482108216,2,0,739,2,False,0.0,False,-1,logcosh,sigmoid,linear,glorot_normal,adam,[384],9700,"[-4521, 4521]"
0.8485313741173006,0.14713928682185587,47,-1.0,0.02612146644748147,0.284534191362519,188,0.7262168523558353,0.701015313949969,2,0,742,1,False,0.0,False,-1,mae,sigmoid,linear,random_uniform,adam,"[256, 256]",41690,"[-3952, 3952]"
1.0,0.1,100,-1.0,0.005,0.1,200,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
0.9408814578750739,0.1130998948984979,148,1.0,0.002320086442243625,0.40900233937248726,39,0.504403242219825,0.9237086596317471,2,0,432,4,False,0.0,False,-1,mse,relu,softmax,random_normal,adam,"[256, 256]",102082,"[-5260, 5260]"
1.0,0.01,150,-1.0,0.01,0.1,200,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
0.7964223091125092,0.4222886085419277,291,-1.0,0.007035737028722149,0.6313047017599905,97,0.89177300078208,0.9818313802505148,2,39,97,1,False,0.0,False,-1,logcosh,sigmoid,softmax,glorot_uniform,adamax,"[384, 192]",127144,"[-3338, 3338]"
1.0,0.01,150,-1.0,0.005,0.1,200,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
0.7964223091125092,0.4222886085419277,291,-1.0,0.007035737028722149,0.6313047017599905,97,0.89177300078208,0.9818313802505148,2,39,97,1,False,0.0,False,-1,logcosh,sigmoid,softmax,glorot_uniform,adamax,"[384, 192]",127144,"[-3338, 3338]"
