episode,reward,steps
958,200.0,200
959,200.0,200
960,200.0,200
961,200.0,200
962,200.0,200
963,200.0,200
964,200.0,200
965,200.0,200
966,200.0,200
967,200.0,200
968,147.0,147
969,200.0,200
970,200.0,200
971,200.0,200
972,200.0,200
973,200.0,200
974,200.0,200
975,200.0,200
976,200.0,200
977,200.0,200
978,200.0,200
979,200.0,200
980,200.0,200
981,200.0,200
982,200.0,200
983,200.0,200
984,200.0,200
985,175.0,175
986,200.0,200
987,200.0,200
988,200.0,200
989,200.0,200
990,200.0,200
991,107.0,107
992,200.0,200
993,200.0,200
994,200.0,200
995,200.0,200
996,200.0,200
997,200.0,200
998,200.0,200
999,200.0,200
1000,200.0,200
1001,200.0,200
1002,200.0,200
1003,200.0,200
1004,200.0,200
1005,181.0,181
1006,200.0,200
1007,200.0,200
1008,182.0,182
1009,200.0,200
1010,200.0,200
1011,200.0,200
1012,200.0,200
1013,200.0,200
1014,200.0,200
1015,200.0,200
1016,200.0,200
1017,200.0,200
1018,200.0,200
1019,200.0,200
1020,200.0,200
1021,200.0,200
1022,200.0,200
1023,200.0,200
1024,200.0,200
1025,200.0,200
1026,200.0,200
1027,200.0,200
1028,200.0,200
1029,200.0,200
1030,200.0,200
1031,200.0,200
1032,200.0,200
1033,200.0,200
1034,200.0,200
1035,200.0,200
1036,200.0,200
1037,200.0,200
1038,200.0,200
1039,200.0,200
1040,200.0,200
1041,200.0,200
1042,200.0,200
1043,200.0,200
1044,200.0,200
1045,200.0,200
1046,200.0,200
1047,200.0,200
1048,200.0,200
1049,151.0,151
1050,200.0,200
1051,200.0,200
1052,200.0,200
1053,200.0,200
1054,200.0,200
1055,200.0,200
1056,200.0,200
1057,200.0,200
1058,200.0,200
1059,200.0,200
1060,200.0,200
1061,200.0,200
1062,200.0,200
1063,200.0,200
1064,200.0,200
1065,200.0,200
1066,200.0,200
1067,200.0,200
1068,200.0,200
1069,200.0,200
1070,200.0,200
1071,200.0,200
1072,200.0,200
1073,200.0,200
1074,200.0,200
1075,198.0,198
1076,192.0,192
1077,200.0,200
1078,200.0,200
1079,200.0,200
1080,200.0,200
1081,200.0,200
1082,200.0,200
1083,200.0,200
1084,200.0,200
1085,200.0,200
1086,200.0,200
1087,200.0,200
1088,200.0,200
1089,200.0,200
1090,200.0,200
1091,200.0,200
1092,200.0,200
1093,200.0,200
1094,200.0,200
1095,200.0,200
1096,200.0,200
1097,200.0,200
1098,200.0,200
1099,135.0,135
1100,200.0,200
1101,200.0,200
1102,200.0,200
1103,200.0,200
1104,200.0,200
1105,200.0,200
1106,200.0,200
1107,200.0,200
1108,200.0,200
1109,200.0,200
1110,200.0,200
1111,200.0,200
1112,120.0,120
1113,200.0,200
1114,200.0,200
1115,200.0,200
1116,200.0,200
1117,200.0,200
1118,200.0,200
1119,200.0,200
1120,200.0,200
1121,200.0,200
1122,200.0,200
1123,200.0,200
1124,200.0,200
1125,200.0,200
1126,200.0,200
1127,200.0,200
1128,200.0,200
1129,200.0,200
1130,200.0,200
1131,200.0,200
1132,200.0,200
1133,200.0,200
1134,200.0,200
1135,200.0,200
1136,200.0,200
1137,200.0,200
1138,200.0,200
1139,200.0,200
1140,200.0,200
1141,200.0,200
